"id","titulo","sentiment_score","sentiment_category","strictness_index","regulatory_style"
88634,"Acórdão nº 668423 do Processo nº20100111888328apc",0,"Neutral",-1,"Balanced"
14562,"ACÓRDÃO TRT 1ª  / 8ª Turma / 0050500-88.2008.5.01.0082 - DOERJ 02-07-2009",0,"Neutral",0,"Balanced"
12539,"REsp 239360 / PR",0,"Neutral",1,"Balanced"
123312,"Acórdão TRT 3ª / Quinta Turma / 2016-02-23",1,"Positive",0,"Balanced"
93451,"ACÓRDÃO TRT 1ª  / 7ª Turma / 0000013-19.2014.5.01.0078 - DOERJ 30-07-2014",0,"Neutral",0,"Balanced"
113972,"Acórdão nº 130191 do Processo nºeic4794498",0,"Neutral",0,"Balanced"
52066,"REsp 39059 / SP",0,"Neutral",-1,"Balanced"
119115,"Acórdão nº 413608 do Processo nº20080910064755apc",0,"Neutral",6,"Prescriptive"
97570,"Proteção domeioambienteno Sistema Interamericano de Direitos Humanos",0,"Neutral",0,"Balanced"
48170,"Acórdão nº 503543 do Processo nº20090111646172apc",0,"Neutral",1,"Balanced"
98714,"Direito fundamental aoambiente, mínimo existencial ecológico e proibição de retrocesso na ordem constitucional brasileira",0,"Neutral",0,"Balanced"
55933,"Acórdão nº 201-69199 do Processo 13709.001200/91-19",0,"Neutral",-2,"Flexible"
48571,"Decreto nº 30819, de 29 de dezembro de 1989",0,"Neutral",0,"Balanced"
125741,"Acórdão do processo Nº RR - 1000144-40.2019.5.02.0056",0,"Neutral",1,"Balanced"
83394,"InstruçãoNormativaRFB Nº 1747, de 28 de setembro de 2017",0,"Neutral",0,"Balanced"
56111,"Acórdão nº 107-07694 do Processo 13707.001599/2003-44",-1,"Negative",0,"Balanced"
93633,"Decreto nº 59.882, de 05/12/2013",0,"Neutral",0,"Balanced"
129143,"Decreto nº 50.725, de 13/04/2006",0,"Neutral",0,"Balanced"
96862,"Acórdão do processo Nº AIRR - 1354-31.2012.5.02.0302",0,"Neutral",-1,"Balanced"
87609,"Lei nº 2567, de 28 de dezembro de 1961",0,"Neutral",0,"Balanced"
21791,"Acórdão do processo Nº AIRR - 1716-76.2012.5.23.0131",1,"Positive",1,"Balanced"
48103,"Decreto nº 7.216 de 15/03/1879",0,"Neutral",0,"Balanced"
83825,"InstruçãoNormativaSRF Nº 85, de 17 de julho de 1986",0,"Neutral",0,"Balanced"
124438,"Acórdão do processo Nº Ag-RR - 787-77.2021.5.17.0007",-1,"Negative",0,"Balanced"
107219,"Resoluçãon° 480,  de 31 de Maio de 2013",0,"Neutral",0,"Balanced"
17634,"RE 1281505 AgR / RS - RIO GRANDE DO SUL",1,"Positive",1,"Balanced"
21987,"ACÓRDÃO TRT 1ª  / 3ª Turma / 0000201-80.2010.5.01.0036 - DOERJ 18-01-2012",0,"Neutral",0,"Balanced"
53879,"Lei nº 6498, de 07 de fevereiro de 2020",-1,"Negative",0,"Balanced"
102954,"Apoluiçãoluminosa e a legislação brasileira",0,"Neutral",0,"Balanced"
130562,"Acórdão nº 482112 do Processo nº20060110726924apc",0,"Neutral",1,"Balanced"
