search_term,date_searched,url,title,urn
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo:estadual:decreto:1962-11-06;40995,"Decreto nº 40.995, de 06/11/1962",urn:lex:br;sao.paulo:estadual:decreto:1962-11-06;40995
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;uberaba:municipal:lei:1988-12-20;4209,"Lei nº 4209 , de 20 de dezembro de 1988",urn:lex:br;minas.gerais;uberaba:municipal:lei:1988-12-20;4209
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;itabirito:municipal:lei:2015-06-01;3073,"Lei n° 3073, de 01 de Junho de 2015",urn:lex:br;minas.gerais;itabirito:municipal:lei:2015-06-01;3073
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;distrito.federal:tribunal.justica.distrito.federal.territorios;turma.recursal.juizados.especiais.civeis.criminais.df.1:acordao:2001-08-14;144043,Acórdão nº 144043 do Processo nº20000110890305acj,urn:lex:br;distrito.federal:tribunal.justica.distrito.federal.territorios;turma.recursal.juizados.especiais.civeis.criminais.df.1:acordao:2001-08-14;144043
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;rio.janeiro;miguel.pereira:municipal:decreto:2011-08-18;3894,"Decreto n° 3894, de 18 de Agosto de 2011",urn:lex:br;rio.janeiro;miguel.pereira:municipal:decreto:2011-08-18;3894
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo:estadual:lei:1964-11-13;8408,"Lei nº 8.408, de 13/11/1964",urn:lex:br;sao.paulo:estadual:lei:1964-11-13;8408
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo:estadual:decreto:1960-11-23;37545,"Decreto nº 37.545, de 23/11/1960",urn:lex:br;sao.paulo:estadual:decreto:1960-11-23;37545
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;rio.grande.sul;terra.areia:municipal:lei:1995-12-06;528,"Lei Municipal nº 528, de 06 de dezembro de 1995",urn:lex:br;rio.grande.sul;terra.areia:municipal:lei:1995-12-06;528
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;rio.grande.sul;herval:municipal:lei:2018-04-05;1409,"Lei Municipal nº 1.409, de 05 de abril de 2018",urn:lex:br;rio.grande.sul;herval:municipal:lei:2018-04-05;1409
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;rio.grande.sul;pedras.altas:municipal:decreto:2017-01-04;1772,"Decreto (municipal) nº 1.772, de 04 de janeiro de 2017",urn:lex:br;rio.grande.sul;pedras.altas:municipal:decreto:2017-01-04;1772
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;rio.grande.sul;machadinho:municipal:lei:2018-08-02;2999,"Lei Municipal nº 2.999, de 02 de agosto de 2018",urn:lex:br;rio.grande.sul;machadinho:municipal:lei:2018-08-02;2999
veículos pesados,2025-06-06 12:27:47,https://www.lexml.gov.br/urn/urn:lex:br;rio.grande.sul;santa.margarida.sul:municipal:lei:2019-05-28;980,"Lei Municipal nº 980, de 28 de maio de 2019",urn:lex:br;rio.grande.sul;santa.margarida.sul:municipal:lei:2019-05-28;980
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br:federal:lei:1974-12-19;6194,"Lei nº 6.194, de 19 de Dezembro de 1974",urn:lex:br:federal:lei:1974-12-19;6194
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br;rio.janeiro;mangaratiba:municipal:lei:2016-04-07;999,"Lei n° 999, de 07 de Abril de 2016",urn:lex:br;rio.janeiro;mangaratiba:municipal:lei:2016-04-07;999
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;divinopolis:municipal:lei:1952-07-10;241,"Lei Ordinária n° 241, de 10 de Julho de 1952",urn:lex:br;minas.gerais;divinopolis:municipal:lei:1952-07-10;241
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br:federal:decreto.lei:1967-01-31;117,"Decreto-Lei nº 117, de 31 de Janeiro de 1967",urn:lex:br:federal:decreto.lei:1967-01-31;117
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo;campinas:municipal:lei:1993-12-27;7747,"Lei nº 7747, de 27 de Dezembro de 1993",urn:lex:br;sao.paulo;campinas:municipal:lei:1993-12-27;7747
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais:estadual:decreto:1988-08-23;28571,"Decreto nº 28571, de 23 de agosto de 1988",urn:lex:br;minas.gerais:estadual:decreto:1988-08-23;28571
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br:federal:lei:1985-11-25;7408,"Lei nº 7.408, de 25 de Novembro de 1985",urn:lex:br:federal:lei:1985-11-25;7408
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo;hortolandia:municipal:lei:1994-05-26;186,"Lei n° 186, de 26 de maio de 1994",urn:lex:br;sao.paulo;hortolandia:municipal:lei:1994-05-26;186
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais:estadual:lei:1999-04-15;13201,"Lei nº 13201, de 15 de abril de 1999",urn:lex:br;minas.gerais:estadual:lei:1999-04-15;13201
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br;santa.catarina:estadual:lei:1999-11-17;11223,"Lei Promulgada Nº 11.223, de 17 de novembro de 1999",urn:lex:br;santa.catarina:estadual:lei:1999-11-17;11223
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;uberaba:municipal:lei:1985-10-09;3652,"Lei nº 3652 , de 9 de outubro de 1985",urn:lex:br;minas.gerais;uberaba:municipal:lei:1985-10-09;3652
veículos de carga,2025-06-06 12:27:50,https://www.lexml.gov.br/urn/urn:lex:br:superior.tribunal.justica;turma.1:acordao;resp:1998-08-18;29135-226194,REsp 29135 / SC,urn:lex:br:superior.tribunal.justica;turma.1:acordao;resp:1998-08-18;29135-226194
